tangent_height_km,R_lin,G_lin,B_lin
6.3992,5.953132e-02,1.073777e-02,0.000000e+00
6.4579,6.023002e-02,1.102803e-02,0.000000e+00
6.5166,6.093141e-02,1.132472e-02,0.000000e+00
6.5753,6.163483e-02,1.162683e-02,0.000000e+00
6.6341,6.234015e-02,1.193436e-02,0.000000e+00
6.6928,6.304721e-02,1.224734e-02,0.000000e+00
6.7515,6.375612e-02,1.256774e-02,0.000000e+00
6.8102,6.446602e-02,1.289367e-02,0.000000e+00
6.8689,6.517655e-02,1.322493e-02,0.000000e+00
6.9276,6.588731e-02,1.356140e-02,0.000000e+00
6.9863,6.659750e-02,1.390358e-02,0.000000e+00
7.0450,6.730557e-02,1.425134e-02,0.000000e+00
7.1037,6.801404e-02,1.460477e-02,0.000000e+00
7.1624,6.872317e-02,1.496409e-02,0.000000e+00
7.2211,6.943280e-02,1.532936e-02,0.000000e+00
7.2798,7.014265e-02,1.570246e-02,0.000000e+00
7.3386,7.085240e-02,1.608198e-02,0.000000e+00
7.3973,7.156165e-02,1.646744e-02,0.000000e+00
7.4560,7.227012e-02,1.685882e-02,0.000000e+00
7.5147,7.297743e-02,1.725669e-02,0.000000e+00
7.5734,7.368265e-02,1.766212e-02,0.000000e+00
7.6321,7.438565e-02,1.807328e-02,0.000000e+00
7.6908,7.508599e-02,1.849011e-02,0.000000e+00
7.7495,7.578319e-02,1.891249e-02,2.776499e-05
7.8082,7.647519e-02,1.934161e-02,1.126097e-04
7.8669,7.716098e-02,1.977625e-02,2.021604e-04
7.9256,7.783919e-02,2.021516e-02,2.960214e-04
7.9843,7.850644e-02,2.065726e-02,3.942767e-04
8.0431,7.915696e-02,2.110094e-02,4.972248e-04
8.1018,7.980248e-02,2.155201e-02,6.064257e-04
8.1605,8.044750e-02,2.200972e-02,7.204921e-04
8.2192,8.109212e-02,2.247418e-02,8.395491e-04
8.2779,8.173624e-02,2.294542e-02,9.637230e-04
8.3366,8.237952e-02,2.342492e-02,1.094353e-03
8.3953,8.302163e-02,2.391236e-02,1.231434e-03
8.4540,8.366261e-02,2.440659e-02,1.374195e-03
8.5127,8.430230e-02,2.490760e-02,1.522767e-03
8.5714,8.494055e-02,2.541537e-02,1.677284e-03
8.6301,8.557630e-02,2.593247e-02,1.840366e-03
8.6888,8.620994e-02,2.645621e-02,2.009824e-03
8.7476,8.684123e-02,2.698650e-02,2.185782e-03
8.8063,8.746990e-02,2.752326e-02,2.368356e-03
8.8650,8.809506e-02,2.806738e-02,2.558830e-03
8.9237,8.871572e-02,2.861871e-02,2.757679e-03
8.9824,8.933093e-02,2.917477e-02,2.963217e-03
9.0411,8.994096e-02,2.973581e-02,3.175657e-03
9.0998,9.054675e-02,3.030255e-02,3.395357e-03
9.1585,9.114915e-02,3.087891e-02,3.625822e-03
9.2172,9.174859e-02,3.146278e-02,3.865015e-03
9.2759,9.234498e-02,3.205377e-02,4.112728e-03
9.3346,9.293809e-02,3.265184e-02,4.369148e-03
9.3933,9.352721e-02,3.325781e-02,4.635588e-03
9.4521,9.411125e-02,3.387256e-02,4.913742e-03
9.5108,9.469084e-02,3.449411e-02,5.201407e-03
9.5695,9.526558e-02,3.512235e-02,5.498769e-03
9.6282,9.583506e-02,3.575714e-02,5.806014e-03
9.6869,9.639685e-02,3.640007e-02,6.126382e-03
9.7456,9.695101e-02,3.704950e-02,6.458215e-03
9.8043,9.749717e-02,3.770441e-02,6.800666e-03
9.8630,9.803414e-02,3.836428e-02,7.153870e-03
