arcmin_from_umbra_center,R_lin,G_lin,B_lin,Y_luminance
9.9804,2.404916e-04,1.489744e-05,0.000000e+00,6.139669e-05
10.0978,2.397342e-04,1.498854e-05,0.000000e+00,6.130171e-05
10.2153,2.390138e-04,1.508188e-05,0.000000e+00,6.121613e-05
10.3327,2.383299e-04,1.517751e-05,0.000000e+00,6.113989e-05
10.4501,2.376806e-04,1.527536e-05,0.000000e+00,6.107256e-05
10.5675,2.370657e-04,1.537550e-05,0.000000e+00,6.101413e-05
10.6849,2.364837e-04,1.547786e-05,0.000000e+00,6.096424e-05
10.8023,2.359345e-04,1.558252e-05,0.000000e+00,6.092290e-05
10.9198,2.354161e-04,1.568937e-05,0.000000e+00,6.088966e-05
11.0372,2.349289e-04,1.579853e-05,0.000000e+00,6.086464e-05
11.1546,2.344710e-04,1.590990e-05,0.000000e+00,6.084741e-05
11.2720,2.340428e-04,1.602358e-05,0.000000e+00,6.083809e-05
11.3894,2.336426e-04,1.613949e-05,0.000000e+00,6.083628e-05
11.5068,2.332700e-04,1.625766e-05,0.000000e+00,6.084194e-05
11.6243,2.329255e-04,1.637823e-05,0.000000e+00,6.085523e-05
11.7417,2.326071e-04,1.650105e-05,0.000000e+00,6.087565e-05
11.8591,2.323146e-04,1.662618e-05,0.000000e+00,6.090319e-05
11.9765,2.320472e-04,1.675359e-05,0.000000e+00,6.093766e-05
12.0939,2.318047e-04,1.688333e-05,0.000000e+00,6.097907e-05
12.2114,2.315861e-04,1.701537e-05,0.000000e+00,6.102718e-05
12.3288,2.313912e-04,1.714974e-05,0.000000e+00,6.108194e-05
12.4462,2.312194e-04,1.728644e-05,0.000000e+00,6.114326e-05
12.5636,2.310700e-04,1.742548e-05,0.000000e+00,6.121100e-05
12.6810,2.309430e-04,1.756689e-05,0.000000e+00,6.128515e-05
12.7984,2.308376e-04,1.771066e-05,0.000000e+00,6.136557e-05
12.9159,2.307540e-04,1.785690e-05,0.000000e+00,6.145236e-05
13.0333,2.306917e-04,1.800558e-05,0.000000e+00,6.154539e-05
13.1507,2.306495e-04,1.815662e-05,0.000000e+00,6.164435e-05
13.2681,2.306274e-04,1.831009e-05,0.000000e+00,6.174933e-05
13.3855,2.306249e-04,1.846598e-05,0.000000e+00,6.186015e-05
13.5029,2.306414e-04,1.862425e-05,0.000000e+00,6.197670e-05
13.6204,2.306766e-04,1.878497e-05,0.000000e+00,6.209898e-05
13.7378,2.307308e-04,1.894820e-05,0.000000e+00,6.222705e-05
13.8552,2.308035e-04,1.911395e-05,0.000000e+00,6.236084e-05
13.9726,2.308935e-04,1.928211e-05,0.000000e+00,6.250003e-05
14.0900,2.310006e-04,1.945268e-05,0.000000e+00,6.264454e-05
14.2074,2.311239e-04,1.962560e-05,0.000000e+00,6.279417e-05
14.3249,2.312633e-04,1.980087e-05,0.000000e+00,6.294888e-05
14.4423,2.314181e-04,1.997851e-05,0.000000e+00,6.310856e-05
14.5597,2.315854e-04,2.015801e-05,0.000000e+00,6.327221e-05
14.6771,2.317653e-04,2.033949e-05,0.000000e+00,6.343995e-05
14.7945,2.319631e-04,2.052386e-05,0.000000e+00,6.361355e-05
14.9119,2.321783e-04,2.071116e-05,0.000000e+00,6.379293e-05
15.0294,2.324120e-04,2.090159e-05,0.000000e+00,6.397846e-05
15.1468,2.326624e-04,2.109496e-05,0.000000e+00,6.416963e-05
15.2642,2.329300e-04,2.129136e-05,0.000000e+00,6.436661e-05
15.3816,2.332134e-04,2.149069e-05,0.000000e+00,6.456903e-05
15.4990,2.335158e-04,2.169347e-05,0.000000e+00,6.477792e-05
15.6164,2.338336e-04,2.189925e-05,0.000000e+00,6.499226e-05
15.7339,2.341680e-04,2.210819e-05,0.000000e+00,6.521236e-05
15.8513,2.345183e-04,2.232030e-05,0.000000e+00,6.543808e-05
15.9687,2.348859e-04,2.253589e-05,0.000000e+00,6.566999e-05
16.0861,2.352691e-04,2.275469e-05,0.000000e+00,6.590747e-05
16.2035,2.356680e-04,2.297678e-05,0.000000e+00,6.615064e-05
16.3209,2.360830e-04,2.320233e-05,0.000000e+00,6.639969e-05
16.4384,2.365141e-04,2.343139e-05,0.000000e+00,6.665469e-05
16.5558,2.369603e-04,2.366380e-05,0.000000e+00,6.691529e-05
16.6732,2.374220e-04,2.389973e-05,0.000000e+00,6.718167e-05
16.7906,2.378999e-04,2.413940e-05,0.000000e+00,6.745419e-05
16.9080,2.383925e-04,2.438252e-05,0.000000e+00,6.773228e-05
17.0254,2.389003e-04,2.462931e-05,0.000000e+00,6.801624e-05
17.1429,2.394239e-04,2.487992e-05,0.000000e+00,6.830626e-05
17.2603,2.399620e-04,2.513416e-05,0.000000e+00,6.860199e-05
17.3777,2.405152e-04,2.539221e-05,0.000000e+00,6.890363e-05
17.4951,2.410838e-04,2.565420e-05,0.000000e+00,6.921135e-05
17.6125,2.416664e-04,2.591991e-05,0.000000e+00,6.952474e-05
17.7299,2.422644e-04,2.618970e-05,0.000000e+00,6.984430e-05
17.8474,2.428772e-04,2.646347e-05,0.000000e+00,7.016986e-05
17.9648,2.435037e-04,2.674109e-05,0.000000e+00,7.050110e-05
18.0822,2.441461e-04,2.702308e-05,0.000000e+00,7.083884e-05
18.1996,2.448018e-04,2.730893e-05,0.000000e+00,7.118217e-05
